NAME                                       VERSION                             TYPE      
github.com/AVENTER-UG/go-logrus-formatter  v0.5.4                              go-module  
github.com/AVENTER-UG/util                 v0.3.0                              go-module  
github.com/gophercloud/utils               v0.0.0-20221207145018-e8fba78967ca  go-module  
github.com/gorilla/mux                     v1.8.0                              go-module  
github.com/mattn/go-colorable              v0.1.12                             go-module  
github.com/mattn/go-isatty                 v0.0.14                             go-module  
github.com/mgutz/ansi                      v0.0.0-20200706080929-d51e80ef957d  go-module  
github.com/russross/blackfriday            v1.6.0                              go-module  
github.com/sirupsen/logrus                 v1.9.0                              go-module  
golang.org/x/crypto                        v0.0.0-20220829220503-c86fa9a7ed90  go-module  
golang.org/x/sys                           v0.2.0                              go-module  
golang.org/x/term                          v0.0.0-20220722155259-a9ba230a4035  go-module  
